Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Acheivement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Acheivement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some Unviersity Education,Percentage of JK-Grade 3 Classes With 20 Students or Fewer,Percentage of JK-Grade 3 Classes With 23 Students or Fewer,Extract Date
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),916293,Hearst High School,Public,Not applicable,Secondary,English,9-12,NA,Bag 7000,27 th,Hearst,Hearst,Ontario,P0L1N0,705-362-4591,705-362-7392,http://www.dsb1.edu.on.ca/schools/hhs,http://www.dsb1.ca, 25 ,49.68741,-83.66768,SP,72,NA,NA,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,40%,NA,SP,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),076104,Iroquois Falls Public School,Public,Not applicable,Elementary,English,JK-6,NA,998,900 Centennial,Iroquois Falls,Iroquois Falls,Ontario,P0K1G0,705-232-6651,705-232-6516,http://www.dsb1.edu.on.ca/schools/ifps,http://www.dsb1.ca, 120 ,48.76252,-80.68982,SP,81.7,NA,NA,27.5,NA,27%,NA,7%,NA,27%,NA,80%,NA,50%,NA,20%,NA,NA,NA,NA,NA,NA,NA,13.61,10.72,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),918288,Iroquois Falls Secondary School,Public,Not applicable,Secondary,English,9-12,NA,NA,44 Anson,Iroquois Falls,Iroquois Falls,Ontario,P0K1E0,705-258-3921,705-258-3431,http://www.dsb1.edu.on.ca/ifss,http://www.dsb1.ca, 183 ,48.76882,-80.68326,SP,96.7,NA,NA,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73%,13,15%,-12,64%,-7,18.83,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),600222,Iroquois Falls Secondary School (Elementary),Public,Not applicable,Elementary,English,7-8,NA,NA,44 Anson,Iroquois Falls,Iroquois Falls,Ontario,P0K1E0,705-258-3921,705-258-3431,NA,http://www.dsb1.ca, 51 ,48.76850291,-80.68208639,NA,100,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),347957,Joseph H Kennedy Public School,Public,Not applicable,Elementary,English,JK-6,NA,Box 640,422 th,Black River - Matheson,Matheson,Ontario,P0K1N0,705-273-2324,705-273-2530,http://www.dsb1.edu.on.ca/schools/jhk,http://www.dsb1.ca, 97 ,48.53562354,-80.46327428,SP,97.9,NA,NA,14.4,NA,57%,NA,36%,NA,29%,NA,64%,NA,21%,NA,7%,NA,NA,NA,NA,NA,NA,NA,23.15,SP,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),919063,Kapuskasing District High School,Public,Not applicable,Secondary,English,9-12,NA,NA,61 Devonshire,Kapuskasing,Kapuskasing,Ontario,P5N1C5,705-335-6164,705-335-8899,http://www.dsb1.edu.on.ca/schools/kdhs,http://www.dsb1.ca, 178 ,49.42065,-82.43453,16.3,87.1,NA,NA,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56%,-3,N/R,NA,81%,6,19.26,6.36,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),291048,Kerns Public School,Public,Not applicable,Elementary,English,JK-6,NA,NA,946021 Maybrook,Kerns,Thornloe,Ontario,P0J1S0,705-647-0225,705-647-0226,http://www.dsb1.edu.on.ca/schools/kerns/index.php,http://www.dsb1.ca, 64 ,47.66673746,-79.74975995,SP,98.4,SP,SP,18.8,NA,N/R,NA,N/R,NA,N/R,NA,57%,NA,36%,NA,21%,NA,NA,NA,NA,NA,NA,NA,SP,SP,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),296600,Kirkland Lake District Composite Elementary School,Public,Not applicable,Elementary,English,7-8,NA,520,60 Allen,Kirkland Lake,Kirkland Lake,Ontario,P2N3J5,705-567-4981,705-568-8829,http://www.dsb1.edu.on.ca/schools/kldcs/index.php,http://www.dsb1.ca, 92 ,48.14911,-80.02088,SP,98.9,NA,NA,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.65,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),920363,Kirkland Lake District Composite Secondary School,Public,Vocational/Occupational,Secondary,English,9-12,NA,520,60 Allen,Kirkland Lake,Kirkland Lake,Ontario,P2N3J5,705-567-4981,705-568-8829,http://www.dsb1.edu.on.ca/schools/kldcs/index.php,http://www.dsb1.ca, 416 ,48.184839,-80.02078,SP,99.3,SP,SP,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77%,-11,36%,5,75%,5,27.06,5.06,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),384224,New Liskeard Public School,Public,Not applicable,Elementary,English,JK-6,NA,Box 159,141 Dymond,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7341,705-647-9608,http://www.dsb1.edu.on.ca/schools/nlps,http://www.dsb1.ca, 292 ,47.51159,-79.6769,4.1,93.5,SP,SP,13.4,NA,43%,NA,51%,NA,38%,NA,82%,NA,82%,NA,59%,NA,NA,NA,NA,NA,NA,NA,12.98,4.16,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),933287,PACE Alternative & Continuing Education,Public,Adult,Secondary,English,9-12,NA,NA,206 Third,Timmins,Timmins,Ontario,P4N1E1,705-264-6959,705-268-3055,http://www.dsb1.edu.on.ca/pace/,http://www.dsb1.ca, 91 ,48.474818,-81.32938485,SP,96.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,25.53,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),445061,Pinecrest Public School,Public,Not applicable,Elementary,English,JK-6,NA,NA,542 Toke,Timmins,Timmins,Ontario,P4N6W1,705-264-7972,705-264-7778,http://www.dsb1.edu.on.ca/schools/pinecrest,http://www.dsb1.ca, 231 ,48.48786,-81.31746,SP,97.4,SP,SP,17.3,NA,31%,NA,31%,NA,33%,NA,77%,NA,67%,NA,23%,NA,NA,NA,NA,NA,NA,NA,18.41,9.34,0.833,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),468371,R Ross Beattie Senior Public School,Public,Not applicable,Elementary,English,7-8,NA,Bag 2007,300 Pearl,Timmins,Timmins,Ontario,P4N7K2,705-264-9438,705-264-4466,http://www.dsb1.edu.on.ca/schools/rrb,http://www.dsb1.ca, 268 ,48.4813,-81.34529,SP,98.1,SP,SP,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.95,11.96,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),943509,Roland Michener Secondary School,Public,Not applicable,Secondary,English,9-12,NA,Postal Bag 2001,155 Legion,Timmins,South Porcupine,Ontario,P0N1H0,705-360-8056,705-360-8057,http://www.dsb1.edu.on.ca/schools/rmss/index.php,http://www.dsb1.ca, 263 ,48.4826,-81.2137,NA,99.6,NA,NA,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69%,19,56%,35,71%,6,16.26,5.17,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),428797,Roland Michener Secondary School (Elementary),Public,Not applicable,Elementary,English,7-8,NA,NA,155 Legion,Timmins,South Porcupine,Ontario,P0N1H0,705-360-8056,NA,NA,http://www.dsb1.ca, 113 ,48.4826,-81.2137,NA,98.2,NA,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.06,9.3,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),502030,Schumacher Public School,Public,Not applicable,Elementary,English,JK-6,NA,Bag 919,64 Croatia,Timmins,Schumacher,Ontario,P0N1G0,705-360-1780,705-267-5285,http://www.dsb1.edu.on.ca/schools/schumacher,http://www.dsb1.ca, 168 ,48.47474,-81.29694,SP,98.8,SP,SP,29.2,NA,26%,NA,37%,NA,26%,NA,57%,NA,43%,NA,7%,NA,NA,NA,NA,NA,NA,NA,23.95,8.37,0.5,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),519294,Smooth Rock Falls Public School,Public,Not applicable,Elementary,English,JK-6,NA,Box 370,50 rd,Smooth Rock Falls,Smooth Rock Falls,Ontario,P0L2B0,705-338-2755,705-338-2992,http://www.dsb1.edu.on.ca/schools/srfps,http://www.dsb1.ca, 31 ,49.2773143,-81.63421992,NA,87.1,NA,NA,SP,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),550809,Temagami Public School,Public,Not applicable,Elementary,English,JK-6,NA,Box 430,11 School,Temagami,Temagami,Ontario,P0H2H0,705-569-3450,705-569-2863,www.dsb1.edu.on.ca/schools/temagami,http://www.dsb1.ca, 20 ,47.06779,-79.789,NA,100,NA,NA,SP,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),946940,Timiskaming District Secondary School,Public,Not applicable,Secondary,English,9-12,NA,Box 4050,90 Niven,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7336,705-647-9260,http://www.dsb1.edu.on.ca/tdss/,http://www.dsb1.ca, 639 ,47.51151,-79.67961,2.3,98.1,SP,SP,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82%,-2,46%,-12,75%,-2,17.82,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),050571,Timiskaming District Secondary School (Elementary),Public,Not applicable,Elementary,English,7-8,NA,4050,90 Niven,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7336,705-647-9260,http://www.dsb1.ca/schools/tdss,http://www.dsb1.ca, 113 ,47.51151,-79.67961,SP,95.6,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.52,SP,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),270291,Timmins Centennial Public School,Public,Not applicable,Elementary,English,JK-6,NA,NA,545 Wilcox,Timmins,Timmins,Ontario,P4N3K5,705-264-8282,705-264-8283,http://www.dsb1.edu.on.ca/schools/tcps/index.php,http://www.dsb1.ca, 506 ,48.46426,-81.33755,SP,94.9,NA,SP,4.2,NA,65%,NA,45%,NA,55%,NA,95%,NA,85%,NA,67%,NA,NA,NA,NA,NA,NA,NA,14.69,12.48,1,1,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),948578,Timmins High and Vocational School,Public,Not applicable,Secondary,English,Pre-Grade 9-12,NA,Bag 2011,451 Theriault,Timmins,Timmins,Ontario,P4N8B2,705-360-1411,705-268-6603,http://www.dsb1.edu.on.ca/schools/thvs,http://www.dsb1.ca, 702 ,48.48595,-81.34992,1.9,99.3,SP,SP,19.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53%,-29,35%,10,59%,-11,20.18,4.99,NA,NA,Dec-04-17
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),361747,W Earle Miller Public School,Public,Not applicable,Elementary,English,JK-6,NA,Bag 2014,200 Victoria,Timmins,Timmins,Ontario,P4N8H3,705-268-5555,705-268-9201,http://www.dsb1.edu.on.ca/schools/wemiller,http://www.dsb1.ca, 334 ,48.49205,-81.34158,SP,99.1,SP,SP,16.5,SP,58%,NA,64%,NA,47%,NA,55%,NA,46%,NA,19%,NA,NA,NA,NA,NA,NA,NA,14.08,13.99,0.833,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),685461,All Saints Catholic School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,4105 Colonial,Mississauga,Mississauga,Ontario,L5L4E8,905-828-6348,905-828-1744,http://www.dpcdsb.org/ALLST,http://www.dpcdsb.org, 346 ,43.53156,-79.71057,19.9,100,SP,SP,13.3,NA,88%,13,88%,-3,78%,10,86%,7,86%,4,48%,-16,NA,NA,NA,NA,NA,NA,12.92,25.89,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),736228,Archbishop Romero Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,2495 Credit Valley,Mississauga,Mississauga,Ontario,L5M4G8,905-412-1000,905-828-5847,http://www.dpcdsb.org/ROMER,http://www.dpcdsb.org, 232 ,43.6867,-79.7605,15.1,99.6,5.2,5.2,39.2,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/R,NA,N/R,NA,N/R,NA,21.48,14.27,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),687308,Ascension of Our Lord Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,7640 Anaka,Mississauga,Mississauga,Ontario,L4T3H7,905-676-1287,905-678-7177,http://www.dpcdsb.org/ASCEN,http://www.dpcdsb.org, 841 ,43.72338,-79.65349,27.2,99.8,11.1,10.9,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93%,7,34%,-2,70%,-5,26.93,9.88,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),689556,Bishop Francis Allen Catholic School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,325 McMurchy,Brampton,Brampton,Ontario,L6Y1Z4,905-457-4677,905-457-2891,http://www.dpcdsb.org/BFALN,http://www.dpcdsb.org, 358 ,43.66624,-79.74619,29.1,100,10.6,10.9,15.6,NA,82%,16,89%,4,61%,-24,85%,17,76%,5,56%,32,NA,NA,NA,NA,NA,NA,23.25,29.09,0.6,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),682438,Bishop Scalabrini School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,225 Central,Mississauga,Mississauga,Ontario,L5B3J5,905-896-3665,905-896-8858,http://www.dpcdsb.org/BSCAL,http://www.dpcdsb.org, 557 ,43.5839,-79.63587,37.9,99.8,13.3,14.5,13.6,SP,76%,16,61%,-3,52%,4,81%,1,74%,-4,38%,-18,NA,NA,NA,NA,NA,NA,32.55,54.6,0.875,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),693715,Canadian Martyrs School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,1185 Mississauga Valley,Mississauga,Mississauga,Ontario,L5A3R7,905-275-0094,905-275-8187,http://www.dpcdsb.org/CMART,http://www.dpcdsb.org, 494 ,43.59904,-79.62194,43.5,99.8,19,19.6,10.3,NA,69%,1,68%,-2,54%,-12,73%,1,81%,2,32%,-17,NA,NA,NA,NA,NA,NA,27.96,48.35,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),749813,Cardinal Ambrozic Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,10 Castle Oaks,Brampton,Brampton,Ontario,L6P3A2,NA,NA,http://www.dpcdsb.org/AMBRO,http://www.dpcdsb.org," 1,332 ",43.78772,-79.68312,22.7,99.8,2.4,2.3,13.3,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91%,13,68%,25,83%,0,16.58,31.78,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),850888,Cardinal Leger Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,75 Mary,Brampton,Brampton,Ontario,L6W3K5,905-453-2232,905-796-9620,http://www.dpcdsb.org/LEGER,http://www.dpcdsb.org," 1,118 ",43.68409,-79.7505,18.3,99.4,3.6,3.8,16.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88%,1,50%,-12,75%,-1,20.87,11.33,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),723967,Cardinal Newman Catholic School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,698 Balmoral,Brampton,Brampton,Ontario,L6T1Z1,905-792-2268,905-792-7566,http://www.dpcdsb.org/CNEWM,http://www.dpcdsb.org, 504 ,43.72155,-79.69919,33.3,100,7.5,7.7,15.5,NA,91%,29,93%,24,51%,-5,73%,15,78%,16,24%,-3,NA,NA,NA,NA,NA,NA,22.76,15.02,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),697095,Christ The King Catholic School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,3240 Garthwood,Mississauga,Mississauga,Ontario,L5L5A3,905-569-0220,905-569-2797,http://www.dpcdsb.org/CKING,http://www.dpcdsb.org, 259 ,43.52396,-79.695,18.5,100,SP,4.2,19.3,NA,86%,5,91%,10,73%,-1,96%,18,96%,7,54%,-2,NA,NA,NA,NA,NA,NA,25.81,29.19,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),701807,Corpus Christi School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,4155 Elora,Mississauga,Mississauga,Ontario,L5B3N4,905-897-7037,905-566-4333,http://www.dpcdsb.org/CORPC,http://www.dpcdsb.org, 238 ,43.5848,-79.65219,26.5,100,9.7,10.5,12.6,NA,79%,23,89%,-11,84%,28,92%,17,92%,7,42%,2,NA,NA,NA,NA,NA,NA,24.29,33.92,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),703222,Divine Mercy School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,2840 Duncairn,Mississauga,Mississauga,Ontario,L5M5C6,905-812-5445,905-812-4922,http://www.dpcdsb.org/DMRCY,http://www.dpcdsb.org, 527 ,43.55954,-79.72377,26.9,100,8.3,9.1,13.7,SP,92%,7,86%,9,82%,9,88%,7,85%,-6,52%,-11,NA,NA,NA,NA,NA,NA,16.41,58.9,0.556,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),696307,Father C W Sullivan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,62 Seaborn,Brampton,Brampton,Ontario,L6V2C1,905-453-5020,905-453-2963,http://www.dpcdsb.org/CWSUL,http://www.dpcdsb.org, 301 ,43.70595,-79.74661,19.9,100,3.7,3.7,11.3,NA,83%,19,73%,5,47%,11,75%,4,75%,7,33%,1,NA,NA,NA,NA,NA,NA,17.87,11.46,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),706337,Father Clair Tipping School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,25 Mountainberry,Brampton,Brampton,Ontario,L6R1J3,905-789-1741,905-789-1958,http://www.dpcdsb.org/FCTIP,http://www.dpcdsb.org, 373 ,43.76465,-79.73137,28.2,100,3.2,3.5,15.3,NA,84%,19,78%,6,68%,5,93%,7,86%,2,38%,-19,NA,NA,NA,NA,NA,NA,14.94,44.88,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),857238,Father Daniel Zanon Elementary School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,450 Hillcrest,Mississauga,Mississauga,Ontario,L5B4J3,905-279-3722,905-279-4015,http://www.dpcdsb.org/ZANON,http://www.dpcdsb.org, 400 ,43.57306,-79.63089,49.3,99.8,7.8,8.3,13.8,NA,81%,6,81%,7,67%,7,84%,11,78%,13,56%,10,NA,NA,NA,NA,NA,NA,21.16,46.29,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),730441,Father Francis McSpiritt Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,55 Lexington,Brampton,Brampton,Ontario,L6P2B1,905-794-5031,905-794-9542,http://www.dpcdsb.org/MCSPI,http://www.dpcdsb.org, 591 ,43.7751,-79.69806,31,100,3.2,3.9,10.5,NA,75%,1,78%,3,58%,7,83%,3,85%,9,39%,8,NA,NA,NA,NA,NA,NA,15.28,44.98,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),706957,Father Michael Goetz Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,330 Central,Mississauga,Mississauga,Ontario,L5B3K6,905-277-0326,905-615-1524,http://www.dpcdsb.org/GOETZ,http://www.dpcdsb.org," 1,335 ",43.58188,-79.63583,41.9,99.9,16,16.3,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83%,-5,38%,-23,78%,-5,31.23,30.43,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),708038,Georges Vanier Catholic School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,28 Finchgate,Brampton,Brampton,Ontario,L6T3H9,905-792-2251,905-792-8455,http://www.dpcdsb.org/GVANI,http://www.dpcdsb.org, 293 ,43.72731,-79.71105,25.9,100,SP,4.1,14.3,NA,74%,8,66%,-8,60%,3,74%,5,81%,12,26%,-28,NA,NA,NA,NA,NA,NA,19.44,15.06,0.75,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),708070,Good Shepherd Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,28 Red River,Brampton,Brampton,Ontario,L6R2H9,905-791-1039,905-791-9856,http://www.dpcdsb.org/GSHEP,http://www.dpcdsb.org, 421 ,43.75604,-79.7463,18.3,99.8,4.3,4.8,10.7,NA,87%,31,82%,12,64%,13,68%,0,66%,-2,34%,7,NA,NA,NA,NA,NA,NA,14.77,32.42,0.667,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),708143,Guardian Angels Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,62 Heatherdale,Brampton,Brampton,Ontario,L7A2H4,905-595-0909,905-846-6932,http://www.dpcdsb.org/GANGL,http://www.dpcdsb.org, 593 ,43.6868,-79.8196,28.2,99.8,3.9,4.7,10.6,NA,78%,5,82%,1,55%,-18,88%,11,89%,7,39%,-23,NA,NA,NA,NA,NA,NA,13.4,37.28,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),714909,Holy Cross School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,3615 Morning Star,Mississauga,Mississauga,Ontario,L4T1Y4,905-677-5660,905-677-1332,http://www.dpcdsb.org/HCROS,http://www.dpcdsb.org, 574 ,43.72491,-79.6363,26,99.8,9.9,10.1,11.7,NA,81%,25,84%,4,69%,7,78%,3,82%,7,40%,0,NA,NA,NA,NA,NA,NA,27.26,17.52,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),716405,Holy Family School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,61 Allan,Caledon,Bolton,Ontario,L7E1P7,905-857-1300,905-857-9432,http://www.dpcdsb.org/HOFAM,http://www.dpcdsb.org, 288 ,43.87366,-79.72607,7.6,100,SP,SP,13.5,SP,86%,22,86%,15,76%,12,92%,12,92%,12,45%,5,NA,NA,NA,NA,NA,NA,6.95,32.1,0.667,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),718114,Holy Name of Mary Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,115 Glenvale,Brampton,Brampton,Ontario,L6S3J7,905-458-5541,905-458-4741,http://www.dpcdsb.org/HNMRY,http://www.dpcdsb.org, 760 ,43.7338,-79.71669,24.6,99.3,3.3,3.3,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89%,-2,59%,-9,86%,-6,19.17,17.5,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),819219,Holy Spirit Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,NA,NA,25 Bloomsbury,Brampton,Brampton,Ontario,L6P1W9,905-794-8039,905-794-1285,http://www.dpcdsb.org/SPRIT,http://www.dpcdsb.org, 417 ,43.78429,-79.72915,11.5,99.8,4.6,5,6.7,NA,80%,13,77%,-9,70%,-2,89%,10,85%,9,49%,-1,NA,NA,NA,NA,NA,NA,13.26,46.24,1,1,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),722790,Iona Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,2170 South Sheridan,Mississauga,Mississauga,Ontario,L5J2M4,905-823-0136,905-823-0248,http://www.dpcdsb.org/IONAS,http://www.dpcdsb.org, 961 ,43.52055,-79.64722,22.8,99.6,4.2,4.2,16.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82%,-10,54%,-8,85%,-1,19.41,18.61,NA,NA,Dec-04-17
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),724564,John Cabot Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,NA,NA,635 Willowbank,Mississauga,Mississauga,Ontario,L4W3L6,905-279-1554,905-279-3419,http://www.dpcdsb.org/CABOT,http://www.dpcdsb.org, 888 ,43.61262,-79.62083,34.7,99.8,11.5,11.4,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,0,53%,-3,79%,-8,24.6,21.1,NA,NA,Dec-04-17
